molecule_chembl_id,canonical_smiles,standard_value,0
CHEMBL302505,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,170.0,active
CHEMBL195796,CCCCCCC(O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,130.0,active
CHEMBL191767,CCCCCOCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,170.0,active
CHEMBL69663,CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,110.0,active
CHEMBL418331,CCCCCOC(=O)CCCNC(=O)Nc1cccc(Cl)c1,2060.0,intermediate
CHEMBL66498,CCCCCCC(O)CCCNC(=O)Nc1cccc(Cl)c1,3100.0,intermediate
CHEMBL192299,CCCCCOC(=O)CCCCC(=O)Nc1cccc(Cl)c1,5900.0,intermediate
CHEMBL192048,CCCCCOC(=O)CCCNC(=O)Cc1cccc(Cl)c1,5000.0,intermediate
CHEMBL195748,CCCCCOC(=O)CCCOC(=O)Nc1cccc(Cl)c1,25200.0,inactive
CHEMBL364020,CCCCCOC(=O)CCCNC(=O)Oc1cccc(Cl)c1,100000.0,inactive
CHEMBL195542,CCCCCOC(=O)CCCOC(=O)Cc1cccc(Cl)c1,100000.0,inactive
CHEMBL192243,CCCCCOC(=O)CCCOC(=O)Oc1cccc(Cl)c1,100000.0,inactive
CHEMBL195763,CCCCCOC(=O)CCCCC(=O)NC12CC3CC(CC(C3)C1)C2,2400.0,intermediate
CHEMBL424822,CCCCCOC(=O)CCCNC(=O)CC12CC3CC(CC(C3)C1)C2,430.0,active
CHEMBL192272,CCCCCOC(=O)CCCNC(=O)C12CC3CC(CC(C3)C1)C2,9400.0,intermediate
CHEMBL192273,CCCCCCCCCCCC(=O)NC12CC3CC(CC(C3)C1)C2,5000.0,intermediate
CHEMBL192549,CCCCCCCCCCNC(=O)CC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL193888,O=C(NCCc1ccccc1)NC1CCCCC1,160.0,active
CHEMBL193019,O=C(CC1CCCCC1)NCCc1ccccc1,4000.0,intermediate
CHEMBL192843,O=C(CCCc1ccccc1)NC1CCCCC1,1400.0,intermediate
CHEMBL192293,O=C(Nc1cccc(Cl)c1)NC1CCCCC1,190.0,active
CHEMBL192470,O=C(CC1CCCCC1)Nc1cccc(Cl)c1,2100.0,intermediate
CHEMBL191967,O=C(Cc1cccc(Cl)c1)NC1CCCCC1,38000.0,inactive
CHEMBL191968,COc1ccc(NC(=O)NC2CCCCC2)cc1,230.0,active
CHEMBL192523,COc1ccc(NC(=O)CC2CCCCC2)cc1,6200.0,intermediate
CHEMBL192461,COc1ccc(CC(=O)NC2CCCCC2)cc1,4800.0,intermediate
CHEMBL365939,O=C(Nc1ccccc1)NC1CCCCC1,1390.0,intermediate
CHEMBL191663,O=C(CC1CCCCC1)Nc1ccccc1,16000.0,inactive
CHEMBL191355,O=C(Cc1ccccc1)NC1CCCCC1,14000.0,inactive
CHEMBL192136,O=C(Nc1ccccc1CO)NC1CCCCC1,100000.0,inactive
CHEMBL191982,O=C(CC1CCCCC1)Nc1ccccc1CO,100000.0,inactive
CHEMBL195797,O=C(Cc1ccccc1CO)NC1CCCCC1,100000.0,inactive
CHEMBL387280,O=C(NCC1CCN(C(=O)c2ccc(C(=O)O)cc2)CC1)NC12CC3CC(CC(C3)C1)C2,11.8,active
CHEMBL215356,O=C(NC1CCNCC1)NC12CC3CC(CC(C3)C1)C2,300.0,active
CHEMBL215146,O=C(NCC1CCN(Cc2ccccc2)CC1)NC12CC3CC(CC(C3)C1)C2,110.0,active
CHEMBL386044,CCCCN1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,610.0,active
CHEMBL214568,CCCN1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,2600.0,intermediate
CHEMBL213611,CCN1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,3900.0,intermediate
CHEMBL216287,O=C(NCC1CCNCC1)NC12CC3CC(CC(C3)C1)C2,4200.0,intermediate
CHEMBL387034,O=C(NC1CCN(Cc2ccccc2)CC1)NC12CC3CC(CC(C3)C1)C2,10.0,active
CHEMBL386820,CCCCN1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1200.0,intermediate
CHEMBL215168,CCCN1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,810.0,active
CHEMBL214534,CCN1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,3800.0,intermediate
CHEMBL436774,CC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,7.0,active
CHEMBL437328,O=C(NCC1CCN(C(=O)c2cccc(C(=O)O)c2)CC1)NC12CC3CC(CC(C3)C1)C2,43.0,active
CHEMBL214735,O=C(NCC1CCN(C(=O)c2ccccc2C(=O)O)CC1)NC12CC3CC(CC(C3)C1)C2,400.0,active
CHEMBL215820,O=C(O)CCCC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,41.0,active
CHEMBL386455,O=C(O)CCC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,170.0,active
CHEMBL215908,COC(=O)c1ccc(C(=O)N2CCC(CNC(=O)NC34CC5CC(CC(C5)C3)C4)CC2)cc1,1.5,active
CHEMBL215121,COC(=O)c1cccc(C(=O)N2CCC(CNC(=O)NC34CC5CC(CC(C5)C3)C4)CC2)c1,4.1,active
CHEMBL384280,COC(=O)c1ccccc1C(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1.8,active
CHEMBL384075,COC(=O)CCCC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,3.4,active
CHEMBL217711,COC(=O)CCC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,6.2,active
CHEMBL386384,O=C(NC1CCN(C(=O)c2ccc(C(=O)O)cc2)CC1)NC12CC3CC(CC(C3)C1)C2,3.3,active
CHEMBL385946,O=C(NC1CCN(C(=O)c2cccc(C(=O)O)c2)CC1)NC12CC3CC(CC(C3)C1)C2,10.0,active
CHEMBL214884,O=C(NC1CCN(C(=O)c2ccccc2C(=O)O)CC1)NC12CC3CC(CC(C3)C1)C2,160.0,active
CHEMBL426340,O=C(O)CCCC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,72.0,active
CHEMBL385348,O=C(O)CCC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,250.0,active
CHEMBL215999,COC(=O)c1ccc(C(=O)N2CCC(NC(=O)NC34CC5CC(CC(C5)C3)C4)CC2)cc1,1.1,active
CHEMBL384744,COC(=O)c1cccc(C(=O)N2CCC(NC(=O)NC34CC5CC(CC(C5)C3)C4)CC2)c1,1.1,active
CHEMBL214644,COC(=O)c1ccccc1C(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1.7,active
CHEMBL214505,COC(=O)CCCC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,2.7,active
CHEMBL215827,COC(=O)CCC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,9.0,active
CHEMBL215069,O=C(NCC1CCN(C(=O)c2ccncc2)CC1)NC12CC3CC(CC(C3)C1)C2,7.3,active
CHEMBL425436,O=C(NCC1CCN(C(=O)c2cccnc2)CC1)NC12CC3CC(CC(C3)C1)C2,5.4,active
CHEMBL386855,O=C(NCC1CCN(C(=O)c2ccccn2)CC1)NC12CC3CC(CC(C3)C1)C2,7.6,active
CHEMBL214883,O=C(NCC1CCN(C(=O)c2ccccc2)CC1)NC12CC3CC(CC(C3)C1)C2,3.2,active
CHEMBL214127,O=C(NCC1CCN(C(=O)C(F)(F)F)CC1)NC12CC3CC(CC(C3)C1)C2,1.8,active
CHEMBL214675,CCCC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,6.7,active
CHEMBL215874,CCC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,8.7,active
CHEMBL215025,CC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,5.0,active
CHEMBL214179,O=C(NC1CCN(C(=O)c2ccncc2)CC1)NC12CC3CC(CC(C3)C1)C2,2.1,active
CHEMBL214128,O=C(NC1CCN(C(=O)c2cccnc2)CC1)NC12CC3CC(CC(C3)C1)C2,1.7,active
CHEMBL215161,O=C(NC1CCN(C(=O)c2ccccn2)CC1)NC12CC3CC(CC(C3)C1)C2,1.2,active
CHEMBL216016,O=C(NC1CCN(C(=O)c2ccccc2)CC1)NC12CC3CC(CC(C3)C1)C2,1.3,active
CHEMBL217758,O=C(NC1CCN(C(=O)C(F)(F)F)CC1)NC12CC3CC(CC(C3)C1)C2,1.1,active
CHEMBL215125,CCCC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,2.6,active
CHEMBL214943,CCC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,3.2,active
CHEMBL215387,O=C(O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,3.0,active
CHEMBL66380,O=C(O)CNC(=O)NC1CCCCC1,100000.0,inactive
CHEMBL219385,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,100.0,active
CHEMBL219132,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,230.0,active
CHEMBL385457,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,100.0,active
CHEMBL438273,CC(O)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,1300.0,intermediate
CHEMBL216165,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,2400.0,intermediate
CHEMBL216164,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,100.0,active
CHEMBL216592,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,100.0,active
CHEMBL218113,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,870.0,active
CHEMBL438269,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,880.0,active
CHEMBL219490,CCC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,130.0,active
CHEMBL218402,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,5500.0,intermediate
CHEMBL219153,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1,1500.0,intermediate
CHEMBL265624,O=C(O)CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL219498,O=C(O)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL219043,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,2100.0,intermediate
CHEMBL219042,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,260.0,active
CHEMBL219597,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)O,1000.0,active
CHEMBL375967,CC(C)[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,55000.0,inactive
CHEMBL218954,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)N[C@@H](Cc1ccc(O)cc1)C(=O)O,80000.0,inactive
CHEMBL374888,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,41000.0,inactive
CHEMBL219528,CC(O)[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL373902,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)N[C@@H](CO)C(=O)O,100000.0,inactive
CHEMBL218353,O=C(NCCCCCC(=O)N1CCC[C@H]1C(=O)O)NC12CC3CC(CC(C3)C1)C2,100000.0,inactive
CHEMBL376653,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)N[C@@H](Cc1ccccc1)C(=O)O,2700.0,intermediate
CHEMBL424747,CSCC[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL219151,CC(C)C[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL216220,CCC(C)[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL216219,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)N[C@@H](Cc1cnc[nH]1)C(=O)O,100000.0,inactive
CHEMBL220029,O=C(O)CNC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100000.0,inactive
CHEMBL220028,O=C(O)CC[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL375839,O=C(O)C[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL219141,N=C(N)NCCC[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL218354,C[C@H](NC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,100000.0,inactive
CHEMBL219095,COC(=O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,1800.0,intermediate
CHEMBL219094,O=C(O)CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100000.0,inactive
CHEMBL215387,O=C(O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL218061,CC(C)[C@H](NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,41000.0,inactive
CHEMBL219597,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)O,2700.0,intermediate
CHEMBL219596,O=C(CCCCCNC(=O)NC1CCCCC1)N[C@@H](Cc1cnc[nH]1)C(=O)O,100000.0,inactive
CHEMBL387334,O=C(O)CC[C@H](NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL219747,N=C(N)NCCC[C@H](NC(=O)CCCCCNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL219974,COC(=O)CCCCCNC(=O)NC1CCCCC1,3200.0,intermediate
CHEMBL434374,O=C(O)CCCCCNC(=O)NC1CCCCC1,100000.0,inactive
CHEMBL219026,CC(C)[C@H](NC(=O)CCCNC(=O)NC1CCCCC1)C(=O)O,17000.0,inactive
CHEMBL264591,O=C(CCCNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)O,21000.0,inactive
CHEMBL386164,O=C(CCCNC(=O)NC1CCCCC1)N[C@@H](Cc1cnc[nH]1)C(=O)O,30000.0,inactive
CHEMBL376500,O=C(O)CC[C@H](NC(=O)CCCNC(=O)NC1CCCCC1)C(=O)O,24000.0,inactive
CHEMBL219595,N=C(N)NCCC[C@H](NC(=O)CCCNC(=O)NC1CCCCC1)C(=O)O,25000.0,inactive
CHEMBL220415,COC(=O)CCCNC(=O)NC1CCCCC1,6200.0,intermediate
CHEMBL219695,O=C(O)CCCNC(=O)NC1CCCCC1,36000.0,inactive
CHEMBL219694,CC(C)[C@H](NC(=O)CNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL219693,O=C(CNC(=O)NC1CCCCC1)N[C@@H](Cc1ccccc1)C(=O)O,100000.0,inactive
CHEMBL426881,O=C(CNC(=O)NC1CCCCC1)N[C@@H](Cc1cnc[nH]1)C(=O)O,100000.0,inactive
CHEMBL219024,O=C(O)CC[C@H](NC(=O)CNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL219023,N=C(N)NCCC[C@H](NC(=O)CNC(=O)NC1CCCCC1)C(=O)O,100000.0,inactive
CHEMBL66518,COC(=O)CNC(=O)NC1CCCCC1,70000.0,inactive
CHEMBL222160,O=C(Nc1ccc(C(=O)O)cc1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,220.0,active
CHEMBL222161,COC(=O)c1cccc(NC(=O)N[C@H]2CC[C@@H](Oc3ccc(F)cc3)CC2)c1,2.0,active
CHEMBL221792,O=C(Nc1cccc(C(=O)O)c1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,590.0,active
CHEMBL374322,O=C(NC12CC3CC(CC(C3)C1)C2)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,0.5,active
CHEMBL438983,COC(=O)c1ccc(NC(=O)N[C@H]2CC[C@@H](Oc3ccc(F)cc3)CC2)cc1,2.9,active
CHEMBL217942,CC(C)c1cccc(C(C)C)c1NC(=O)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,50500.0,inactive
CHEMBL434749,O=C(Nc1c(Cl)cccc1Cl)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,940.0,active
CHEMBL221446,Cc1cccc(C)c1NC(=O)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,1200.0,intermediate
CHEMBL221015,O=C(Nc1ccc(C(F)(F)F)cc1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,1.2,active
CHEMBL221014,O=C(Nc1ccc(OC(F)(F)F)cc1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,0.9,active
CHEMBL221737,O=C(Nc1ccc(Br)cc1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,0.6,active
CHEMBL374730,O=C(Nc1ccc(Cl)cc1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,0.7,active
CHEMBL220908,O=C(Nc1ccc(I)cc1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,1.0,active
CHEMBL221793,O=C(NC1CCCCCC1)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,0.5,active
CHEMBL222080,C[C@@H](NC(=O)NC12CC3CC(CC(C3)C1)C2)c1ccccc1,100.0,active
CHEMBL373655,CN(C)c1cccc2c(S(=O)(=O)NCCNC(=O)NC34CC5CC(CC(C5)C3)C4)cccc12,30.0,active
CHEMBL376647,O=C(NC12CC3CC(CC(C3)C1)C2)N[C@H]1CC[C@H](OCc2c(F)cccc2F)CC1,0.5,active
CHEMBL426555,O=C(Nc1ccccc1OC(F)(F)F)N[C@H]1CC[C@@H](Oc2ccc(F)cc2)CC1,100.0,active
CHEMBL215387,O=C(O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL376597,CCCCCCCCC(NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,210.0,active
CHEMBL375113,O=C(CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)NCC(=O)N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,220.0,active
CHEMBL224266,CCCCCCCC(NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,100.0,active
CHEMBL438838,O=C(CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)NS(=O)(=O)c1ccccc1,100.0,active
CHEMBL390293,CS(=O)(=O)NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL224395,CC(C)NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL376597,CCCCCCCCC(NC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,55.0,active
CHEMBL224579,O=C(NCCCCCCCCCCCC(=O)OCc1cccc2ccccc12)NC12CC3CC(CC(C3)C1)C2,210.0,active
CHEMBL225271,O=C(NCCCCCCCCCCCC(=O)OCc1ccccc1Cl)NC12CC3CC(CC(C3)C1)C2,290.0,active
CHEMBL224449,O=C(NCCCCCCCCCCCC(=O)OCc1ccccc1)NC12CC3CC(CC(C3)C1)C2,130.0,active
CHEMBL390796,O=C(NCCCCCCCCCCCC(=O)OC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,230.0,active
CHEMBL224740,CC(C)(C)OC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL224448,CC(C)COC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL224912,CCC(C)OC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL223281,CCCCOC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL427070,CC(C)OC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL223956,C#CCOC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL375240,C=CCOC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL224359,CCCOC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL223900,CCOC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL224357,COC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL215387,O=C(O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,3.2,active
CHEMBL224580,CCNC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,100.0,active
CHEMBL375113,O=C(CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)NCC(=O)N[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,7.6,active
